State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Latitude,Longitude
Alabama,DeKalb,2021,58,58,0,0,0,0,0,49,42,32,0,0,58,0,0,0,34.289001,-85.970065
Alabama,Jefferson,2021,60,33,27,0,0,0,0,93,64,50,1,1,2,0,55,1,33.565278,-86.796389
Alaska,Denali ,2021,59,59,0,0,0,0,0,43,41,39,0,0,59,0,0,0,63.7232,-148.9676
Arizona,Apache,2021,87,87,0,0,0,0,0,25,19,11,0,0,0,0,1,86,34.058475,-109.441259
Arizona,Cochise,2021,90,77,12,1,0,0,0,104,54,41,0,0,48,0,0,42,32.00941,-109.38906
Arizona,Coconino,2021,89,87,2,0,0,0,0,51,45,41,0,0,89,0,0,0,35.225136,-111.607603
Arizona,Gila,2021,90,76,14,0,0,0,0,80,58,44,0,0,77,8,0,5,33.419017,-110.82967
Arizona,La Paz,2021,90,85,5,0,0,0,0,61,49,42,0,0,90,0,0,0,34.2439,-113.5586
Arizona,Maricopa,2021,120,6,22,21,33,38,0,272,217,166,0,1,95,0,8,16,33.503833,-112.095767
Arizona,Mohave,2021,90,90,0,0,0,0,0,46,22,12,0,0,0,0,0,90,36.019302,-114.069205
Arizona,Navajo,2021,90,90,0,0,0,0,0,45,43,35,0,0,59,0,0,31,33.85815,-109.97029
Arizona,Pima,2021,90,57,28,5,0,0,0,128,72,45,0,0,0,0,0,90,32.248712,-111.218494
Arizona,Pinal,2021,120,84,36,0,0,0,0,90,67,47,0,0,109,0,0,11,33.293465,-111.285594
Arizona,Santa Cruz,2021,90,47,42,0,1,0,0,166,76,47,0,0,0,0,63,27,31.33745,-110.93715
Arizona,Yavapai,2021,57,50,7,0,0,0,0,64,51,44,0,0,57,0,0,0,34.340556,-111.683923
Arizona,Yuma,2021,90,74,16,0,0,0,0,94,58,44,0,0,61,0,8,21,32.690278,-114.61444
Arkansas,Arkansas,2021,30,28,2,0,0,0,0,56,44,28,0,0,0,0,30,0,34.518515,-91.55896
Arkansas,Ashley,2021,28,27,1,0,0,0,0,51,43,30,0,0,0,0,28,0,33.139471,-91.939208
Arkansas,Clark,2021,58,57,1,0,0,0,0,54,37,30,0,0,58,0,0,0,34.1795,-93.0988
Arkansas,Crittenden,2021,90,80,10,0,0,0,0,62,52,33,0,5,46,0,39,0,35.197288,-90.193141
Arkansas,Garland,2021,29,26,3,0,0,0,0,52,51,27,0,0,0,0,29,0,34.469441,-93.000178
Arkansas,Jackson,2021,28,26,2,0,0,0,0,56,47,28,0,0,0,0,28,0,35.637283,-91.188906
Arkansas,Newton,2021,90,89,1,0,0,0,0,51,46,34,0,0,90,0,0,0,35.825893,-93.203187
Arkansas,Polk,2021,90,86,4,0,0,0,0,64,47,36,0,0,81,0,9,0,34.454514,-94.143521
Arkansas,Pulaski,2021,91,67,24,0,0,0,0,100,56,40,1,6,23,0,61,0,34.681343,-92.328697
Arkansas,Union,2021,25,22,3,0,0,0,0,54,51,32,0,0,0,0,25,0,33.220563,-92.672263
Arkansas,Washington,2021,90,80,10,0,0,0,0,81,51,36,0,0,62,0,28,0,36.011703,-94.167436
California,Colusa,2021,108,108,0,0,0,0,0,47,29,13,0,0,0,0,108,0,39.18919,-121.99887
California,Fresno,2021,59,39,19,0,0,1,0,278,71,37,0,0,34,0,22,3,37.22064,-119.155557
California,Imperial,2021,34,32,2,0,0,0,0,53,45,31,0,0,0,0,34,0,33.213611,-115.54528
California,Inyo,2021,120,120,0,0,0,0,0,48,42,29,0,0,56,0,30,34,37.155494,-118.293547
California,Kern,2021,32,8,13,10,1,0,0,152,143,92,0,0,0,0,30,2,34.821922,-118.887598
California,Kings,2021,120,103,17,0,0,0,0,77,53,35,0,0,69,0,0,51,36.31567,-119.643447
California,Mariposa,2021,59,58,1,0,0,0,0,67,44,40,0,0,59,0,0,0,37.748707,-119.587094
California,Merced,2021,2,2,0,0,0,0,0,18,18,18,0,0,0,0,0,2,37.30832,-120.480456
