"","Year","State","Classified.Days","count"
"1",1980,"Alabama","Good.Days",5
"2",1980,"Alabama","Hazardous.Days",5
"3",1980,"Alabama","Moderate.Days",5
"4",1980,"Alabama","Unhealthy.Days",5
"5",1980,"Alabama","Unhealthy.for.Sensitive.Groups.Days",5
"6",1980,"Alabama","Very.Unhealthy.Days",5
"7",1980,"Alaska","Good.Days",3
"8",1980,"Alaska","Hazardous.Days",3
"9",1980,"Alaska","Moderate.Days",3
"10",1980,"Alaska","Unhealthy.Days",3
"11",1980,"Alaska","Unhealthy.for.Sensitive.Groups.Days",3
"12",1980,"Alaska","Very.Unhealthy.Days",3
"13",1980,"Arizona","Good.Days",8
"14",1980,"Arizona","Hazardous.Days",8
"15",1980,"Arizona","Moderate.Days",8
"16",1980,"Arizona","Unhealthy.Days",8
"17",1980,"Arizona","Unhealthy.for.Sensitive.Groups.Days",8
"18",1980,"Arizona","Very.Unhealthy.Days",8
"19",1980,"Arkansas","Good.Days",2
"20",1980,"Arkansas","Hazardous.Days",2
"21",1980,"Arkansas","Moderate.Days",2
"22",1980,"Arkansas","Unhealthy.Days",2
"23",1980,"Arkansas","Unhealthy.for.Sensitive.Groups.Days",2
"24",1980,"Arkansas","Very.Unhealthy.Days",2
"25",1980,"California","Good.Days",41
"26",1980,"California","Hazardous.Days",41
"27",1980,"California","Moderate.Days",41
"28",1980,"California","Unhealthy.Days",41
"29",1980,"California","Unhealthy.for.Sensitive.Groups.Days",41
"30",1980,"California","Very.Unhealthy.Days",41
"31",1980,"Colorado","Good.Days",10
"32",1980,"Colorado","Hazardous.Days",10
"33",1980,"Colorado","Moderate.Days",10
"34",1980,"Colorado","Unhealthy.Days",10
"35",1980,"Colorado","Unhealthy.for.Sensitive.Groups.Days",10
"36",1980,"Colorado","Very.Unhealthy.Days",10
"37",1980,"Connecticut","Good.Days",6
"38",1980,"Connecticut","Hazardous.Days",6
"39",1980,"Connecticut","Moderate.Days",6
"40",1980,"Connecticut","Unhealthy.Days",6
"41",1980,"Connecticut","Unhealthy.for.Sensitive.Groups.Days",6
"42",1980,"Connecticut","Very.Unhealthy.Days",6
"43",1980,"Delaware","Good.Days",3
"44",1980,"Delaware","Hazardous.Days",3
"45",1980,"Delaware","Moderate.Days",3
"46",1980,"Delaware","Unhealthy.Days",3
"47",1980,"Delaware","Unhealthy.for.Sensitive.Groups.Days",3
"48",1980,"Delaware","Very.Unhealthy.Days",3
"49",1980,"District Of Columbia","Good.Days",1
"50",1980,"District Of Columbia","Hazardous.Days",1
"51",1980,"District Of Columbia","Moderate.Days",1
"52",1980,"District Of Columbia","Unhealthy.Days",1
"53",1980,"District Of Columbia","Unhealthy.for.Sensitive.Groups.Days",1
"54",1980,"District Of Columbia","Very.Unhealthy.Days",1
"55",1980,"Florida","Good.Days",18
"56",1980,"Florida","Hazardous.Days",18
"57",1980,"Florida","Moderate.Days",18
"58",1980,"Florida","Unhealthy.Days",18
"59",1980,"Florida","Unhealthy.for.Sensitive.Groups.Days",18
"60",1980,"Florida","Very.Unhealthy.Days",18
"61",1980,"Georgia","Good.Days",9
"62",1980,"Georgia","Hazardous.Days",9
"63",1980,"Georgia","Moderate.Days",9
"64",1980,"Georgia","Unhealthy.Days",9
"65",1980,"Georgia","Unhealthy.for.Sensitive.Groups.Days",9
"66",1980,"Georgia","Very.Unhealthy.Days",9
"67",1980,"Hawaii","Good.Days",1
"68",1980,"Hawaii","Hazardous.Days",1
"69",1980,"Hawaii","Moderate.Days",1
"70",1980,"Hawaii","Unhealthy.Days",1
"71",1980,"Hawaii","Unhealthy.for.Sensitive.Groups.Days",1
"72",1980,"Hawaii","Very.Unhealthy.Days",1
"73",1980,"Idaho","Good.Days",4
"74",1980,"Idaho","Hazardous.Days",4
"75",1980,"Idaho","Moderate.Days",4
"76",1980,"Idaho","Unhealthy.Days",4
"77",1980,"Idaho","Unhealthy.for.Sensitive.Groups.Days",4
"78",1980,"Idaho","Very.Unhealthy.Days",4
"79",1980,"Illinois","Good.Days",20
"80",1980,"Illinois","Hazardous.Days",20
"81",1980,"Illinois","Moderate.Days",20
"82",1980,"Illinois","Unhealthy.Days",20
"83",1980,"Illinois","Unhealthy.for.Sensitive.Groups.Days",20
"84",1980,"Illinois","Very.Unhealthy.Days",20
"85",1980,"Indiana","Good.Days",20
"86",1980,"Indiana","Hazardous.Days",20
"87",1980,"Indiana","Moderate.Days",20
"88",1980,"Indiana","Unhealthy.Days",20
"89",1980,"Indiana","Unhealthy.for.Sensitive.Groups.Days",20
"90",1980,"Indiana","Very.Unhealthy.Days",20
"91",1980,"Iowa","Good.Days",7
"92",1980,"Iowa","Hazardous.Days",7
"93",1980,"Iowa","Moderate.Days",7
"94",1980,"Iowa","Unhealthy.Days",7
"95",1980,"Iowa","Unhealthy.for.Sensitive.Groups.Days",7
"96",1980,"Iowa","Very.Unhealthy.Days",7
"97",1980,"Kansas","Good.Days",3
"98",1980,"Kansas","Hazardous.Days",3
"99",1980,"Kansas","Moderate.Days",3
"100",1980,"Kansas","Unhealthy.Days",3
"101",1980,"Kansas","Unhealthy.for.Sensitive.Groups.Days",3
"102",1980,"Kansas","Very.Unhealthy.Days",3
"103",1980,"Kentucky","Good.Days",13
"104",1980,"Kentucky","Hazardous.Days",13
"105",1980,"Kentucky","Moderate.Days",13
"106",1980,"Kentucky","Unhealthy.Days",13
"107",1980,"Kentucky","Unhealthy.for.Sensitive.Groups.Days",13
"108",1980,"Kentucky","Very.Unhealthy.Days",13
"109",1980,"Louisiana","Good.Days",7
"110",1980,"Louisiana","Hazardous.Days",7
"111",1980,"Louisiana","Moderate.Days",7
"112",1980,"Louisiana","Unhealthy.Days",7
"113",1980,"Louisiana","Unhealthy.for.Sensitive.Groups.Days",7
"114",1980,"Louisiana","Very.Unhealthy.Days",7
"115",1980,"Maine","Good.Days",8
"116",1980,"Maine","Hazardous.Days",8
"117",1980,"Maine","Moderate.Days",8
"118",1980,"Maine","Unhealthy.Days",8
"119",1980,"Maine","Unhealthy.for.Sensitive.Groups.Days",8
"120",1980,"Maine","Very.Unhealthy.Days",8
"121",1980,"Maryland","Good.Days",11
"122",1980,"Maryland","Hazardous.Days",11
"123",1980,"Maryland","Moderate.Days",11
"124",1980,"Maryland","Unhealthy.Days",11
"125",1980,"Maryland","Unhealthy.for.Sensitive.Groups.Days",11
"126",1980,"Maryland","Very.Unhealthy.Days",11
"127",1980,"Massachusetts","Good.Days",9
"128",1980,"Massachusetts","Hazardous.Days",9
"129",1980,"Massachusetts","Moderate.Days",9
"130",1980,"Massachusetts","Unhealthy.Days",9
"131",1980,"Massachusetts","Unhealthy.for.Sensitive.Groups.Days",9
"132",1980,"Massachusetts","Very.Unhealthy.Days",9
"133",1980,"Michigan","Good.Days",16
"134",1980,"Michigan","Hazardous.Days",16
"135",1980,"Michigan","Moderate.Days",16
"136",1980,"Michigan","Unhealthy.Days",16
"137",1980,"Michigan","Unhealthy.for.Sensitive.Groups.Days",16
