"","State","County","Median.AQI"
"1","Alabama","DeKalb",32
"2","Alabama","Jefferson",50
"3","Alaska","Denali ",39
"4","Arizona","Apache",11
"5","Arizona","Cochise",41
"6","Arizona","Coconino",41
"7","Arizona","Gila",44
"8","Arizona","La Paz",42
"9","Arizona","Maricopa",166
"10","Arizona","Mohave",12
"11","Arizona","Navajo",35
"12","Arizona","Pima",45
"13","Arizona","Pinal",47
"14","Arizona","Santa Cruz",47
"15","Arizona","Yavapai",44
"16","Arizona","Yuma",44
"17","Arkansas","Arkansas",28
"18","Arkansas","Ashley",30
"19","Arkansas","Clark",30
"20","Arkansas","Crittenden",33
"21","Arkansas","Garland",27
"22","Arkansas","Jackson",28
"23","Arkansas","Newton",34
"24","Arkansas","Polk",36
"25","Arkansas","Pulaski",40
"26","Arkansas","Union",32
"27","Arkansas","Washington",36
"28","California","Colusa",13
"29","California","Fresno",37
"30","California","Imperial",31
"31","California","Inyo",29
"32","California","Kern",92
"33","California","Kings",35
"34","California","Mariposa",40
"35","California","Merced",18
"36","California","Monterey",37
"37","California","Nevada",38
"38","California","Plumas",65
"39","California","Riverside",43
"40","California","Sacramento",53
"41","California","San Benito",37
"42","California","San Bernardino",40
"43","California","Santa Barbara",39
"44","California","Santa Cruz",36
"45","California","Shasta",39
"46","California","Solano",5
"47","California","Stanislaus",22
"48","California","Tehama",4
"49","California","Tulare",33
"50","California","Ventura",42
"51","California","Yolo",6
"52","Colorado","Adams",37
"53","Colorado","Arapahoe",35
"54","Colorado","Archuleta",35
"55","Colorado","Boulder",33
"56","Colorado","Clear Creek",45
"57","Colorado","Denver",43
"58","Colorado","Douglas",30
"59","Colorado","El Paso",39
"60","Colorado","Fremont",9
"61","Colorado","Garfield",36
"62","Colorado","Gilpin",42
"63","Colorado","Gunnison",44
"64","Colorado","Jefferson",41
"65","Colorado","La Plata",41
"66","Colorado","Larimer",45
"67","Colorado","Mesa",38
"68","Colorado","Montezuma",42
"69","Colorado","Pitkin",8
"70","Colorado","Prowers",14
"71","Colorado","Pueblo",16
"72","Colorado","Rio Blanco",39
"73","Colorado","Routt",14
"74","Colorado","San Miguel",6
"75","Colorado","Weld",31
"76","Connecticut","Windham",33
"77","Country Of Mexico","BAJA CALIFORNIA NORTE",80
"78","Florida","Indian River",38
"79","Florida","Liberty",31
"80","Georgia","Bibb",29
"81","Georgia","Chatham",35
"82","Georgia","Clarke",34
"83","Georgia","Clayton",30
"84","Georgia","Cobb",36
"85","Georgia","Coffee",26
"86","Georgia","DeKalb",36
"87","Georgia","Dougherty",35
"88","Georgia","Floyd",22
"89","Georgia","Fulton",36
"90","Georgia","Glynn",31
"91","Georgia","Gwinnett",32
"92","Georgia","Hall",30
"93","Georgia","Henry",19
"94","Georgia","Houston",35
"95","Georgia","Lowndes",31
"96","Georgia","Muscogee",34
"97","Georgia","Pike",34
"98","Georgia","Richmond",41
"99","Georgia","Rockdale",43
"100","Georgia","Sumter",42
"101","Georgia","Washington",32
"102","Hawaii","Hawaii",8
"103","Idaho","Butte",38
"104","Idaho","Idaho",34
"105","Idaho","Nez Perce",15
"106","Illinois","Adams",40
"107","Illinois","Champaign",37
"108","Illinois","Clark",32
"109","Illinois","Cook",54
"110","Illinois","DuPage",46
"111","Illinois","Effingham",38
"112","Illinois","Hamilton",37
"113","Illinois","Jersey",37
"114","Illinois","Jo Daviess",32
"115","Illinois","Kane",39
"116","Illinois","La Salle",1
"117","Illinois","Lake",41
"118","Illinois","Macon",39
"119","Illinois","Macoupin",6
"120","Illinois","Madison",48
"121","Illinois","McHenry",39
"122","Illinois","McLean",40
"123","Illinois","Monroe",3
"124","Illinois","Peoria",39
"125","Illinois","Randolph",37
"126","Illinois","Rock Island",38
"127","Illinois","Saint Clair",42
"128","Illinois","Sangamon",34
"129","Illinois","Tazewell",1
"130","Illinois","Wabash",1
"131","Illinois","Will",46
"132","Illinois","Winnebago",45
"133","Indiana","Allen",36
"134","Indiana","Bartholomew",38
"135","Indiana","Boone",30
"136","Indiana","Brown",35
"137","Indiana","Carroll",34
"138","Indiana","Clark",42
"139","Indiana","Delaware",37
"140","Indiana","Dubois",35
"141","Indiana","Elkhart",35
"142","Indiana","Floyd",31
"143","Indiana","Gibson",1
"144","Indiana","Greene",33
"145","Indiana","Hamilton",38
"146","Indiana","Hendricks",32
"147","Indiana","Henry",33
"148","Indiana","Howard",39
"149","Indiana","Knox",30
"150","Indiana","LaPorte",35
"151","Indiana","Lake",49
"152","Indiana","Madison",41
"153","Indiana","Marion",45
"154","Indiana","Monroe",31
"155","Indiana","Perry",31
"156","Indiana","Porter",38
"157","Indiana","Posey",28
"158","Indiana","Shelby",32
"159","Indiana","Spencer",30
"160","Indiana","St. Joseph",42
"161","Indiana","Tippecanoe",44
"162","Indiana","Vanderburgh",41
"163","Indiana","Vigo",38
"164","Indiana","Wabash",31
"165","Indiana","Warrick",31
"166","Indiana","Whitley",37
"167","Iowa","Black Hawk",41
"168","Iowa","Bremer",37
"169","Iowa","Cerro Gordo",16
"170","Iowa","Clinton",51
"171","Iowa","Harrison",39
"172","Iowa","Johnson",47
"173","Iowa","Lee",33
"174","Iowa","Linn",47
"175","Iowa","Montgomery",37
"176","Iowa","Muscatine",41
"177","Iowa","Palo Alto",39
"178","Iowa","Polk",39
"179","Iowa","Pottawattamie",35
"180","Iowa","Scott",50
"181","Iowa","Van Buren",39
"182","Iowa","Woodbury",37
"183","Kentucky","Edmonson",30
"184","Kentucky","Morgan",31
"185","Kentucky","Trigg",31
"186","Kentucky","Washington",32
"187","Louisiana","Ascension",30
"188","Louisiana","Bossier",38
"189","Louisiana","Caddo",34
"190","Louisiana","Calcasieu",42
"191","Louisiana","East Baton Rouge",35
"192","Louisiana","Iberville",36
"193","Louisiana","Jefferson",33
"194","Louisiana","Lafayette",39
"195","Louisiana","Lafourche",37
"196","Louisiana","Livingston",37
"197","Louisiana","Orleans",23
"198","Louisiana","Ouachita",31
"199","Louisiana","Pointe Coupee",31
"200","Louisiana","St. Bernard",40
"201","Louisiana","St. Charles",3
"202","Louisiana","St. James",27
"203","Louisiana","St. John the Baptist",31
"204","Louisiana","St. Martin",34
"205","Louisiana","St. Tammany",32
"206","Louisiana","West Baton Rouge",31
"207","Maine","Androscoggin",34
"208","Maine","Aroostook",34
"209","Maine","Cumberland",38
"210","Maine","Hancock",39
"211","Maine","Kennebec",38
"212","Maine","Knox",41
"213","Maine","Oxford",37
"214","Maine","Penobscot",38
"215","Maine","Washington",37
"216","Maine","York",41
"217","Maryland","Anne Arundel",4
"218","Maryland","Baltimore",38
"219","Maryland","Baltimore (City)",27
"220","Maryland","Cecil",37
"221","Maryland","Dorchester",37
"222","Maryland","Garrett",37
"223","Maryland","Harford",38
"224","Maryland","Howard",24
"225","Maryland","Kent",19
"226","Maryland","Montgomery",39
"227","Maryland","Prince George's",38
"228","Maryland","Washington",40
"229","Massachusetts","Barnstable",33
"230","Massachusetts","Berkshire",31
"231","Massachusetts","Bristol",32
"232","Massachusetts","Dukes",32
"233","Massachusetts","Essex",32
"234","Massachusetts","Franklin",35
"235","Massachusetts","Hampden",36
"236","Massachusetts","Hampshire",32
"237","Massachusetts","Middlesex",33
"238","Massachusetts","Norfolk",31
"239","Massachusetts","Plymouth",31
"240","Massachusetts","Suffolk",33
"241","Massachusetts","Worcester",35
"242","Michigan","Allegan",26
"243","Michigan","Bay",23
