Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Afghanistan,net consumption,Asia & Oceania,0.88,0.92,0.89,0.93,0.95,0.96,1.06,1.13,1.00,1.01,1.02,1.04,0.77,0.73,0.75,0.69,0.62,0.56,0.53,0.52,0.44,0.57,0.66,0.89,0.84,0.89,1.07,1.35,1.28,1.87,2.20,2.61,3.55,4.23,4.35,4.44,4.96,5.26,5.51,5.31,5.29,5.53
        Albania,net consumption,Europe,2.97,2.99,2.98,2.98,2.98,3.04,3.03,3.44,3.21,3.43,1.66,1.72,1.44,1.73,2.02,2.15,2.79,2.08,2.20,3.48,3.69,3.49,4.49,4.04,4.05,5.13,3.16,3.58,5.07,5.43,4.44,6.55,6.79,7.26,6.63,5.99,7.51,6.12,6.40,6.50,6.66,7.42
        Algeria,net consumption,Africa,5.92,6.71,7.73,8.21,8.96,9.69,10.34,11.12,11.95,12.19,12.73,13.03,14.04,14.04,14.37,14.47,15.17,15.37,16.91,18.49,19.72,20.65,21.62,23.61,24.43,27.52,26.91,28.33,30.50,28.32,33.84,38.13,42.87,45.20,49.21,53.46,55.82,60.28,62.11,66.65,63.69,68.66
        American Samoa,net consumption,Asia & Oceania,0.07,0.06,0.06,0.07,0.06,0.08,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.11,0.11,0.12,0.12,0.13,0.14,0.14,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.15,0.16
        Angola,net consumption,Africa,0.74,0.74,0.82,0.83,0.86,0.83,0.89,0.89,0.89,0.90,0.96,0.90,1.01,1.06,1.07,1.07,1.09,1.22,1.33,1.11,1.19,1.35,1.46,1.65,1.60,2.07,2.85,2.72,3.65,4.13,4.69,4.89,5.34,7.05,8.15,8.23,9.04,9.47,11.38,13.66,14.75,14.56
        Antarctica,net consumption,Central & South America,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        Antigua and Barbuda,net consumption,Central & South America,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.14,0.16,0.18,0.20,0.21,0.23,0.24,0.26,0.27,0.31,0.32,0.32,0.31,0.31,0.32,0.33,0.33,0.33,0.28,0.28,0.26,0.29
        Argentina,net consumption,Central & South America,36.85,35.59,36.00,35.48,37.74,37.37,39.01,42.15,42.22,39.92,37.11,39.66,45.29,48.41,49.93,54.94,57.93,62.78,67.91,70.43,73.23,75.40,72.47,79.11,83.65,88.60,99.05,100.15,103.70,104.30,111.17,113.59,117.71,117.68,123.61,128.65,128.46,125.84,125.41,122.80,122.53,126.74
        Armenia,net consumption,Eurasia,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,6.36,3.72,3.27,2.86,3.49,4.28,3.67,3.88,3.69,3.69,3.44,3.70,4.20,4.16,4.44,4.78,4.56,4.49,4.63,4.99,5.04,5.19,5.30,5.33,5.29,5.57,5.35,5.80,5.87,6.13
        Aruba,net consumption,Central & South America,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,0.25,0.28,0.29,0.31,0.30,0.30,0.30,0.46,0.49,0.54,0.56,0.59,0.64,0.65,0.65,0.63,0.64,0.65,0.68,0.70,0.71,0.73,0.71,0.75,0.74,0.72,0.72,0.75,0.75,0.77,0.75,0.76,0.74,0.76,0.72,0.77
