date,case_type,count
25/1/2020,New Cases,4
25/1/2020,Recovered Cases,0
25/1/2020,New Deaths,0
26/1/2020,New Cases,0
26/1/2020,Recovered Cases,0
26/1/2020,New Deaths,0
27/1/2020,New Cases,0
27/1/2020,Recovered Cases,0
27/1/2020,New Deaths,0
28/1/2020,New Cases,0
28/1/2020,Recovered Cases,0
28/1/2020,New Deaths,0
29/1/2020,New Cases,3
29/1/2020,Recovered Cases,0
29/1/2020,New Deaths,0
30/1/2020,New Cases,1
30/1/2020,Recovered Cases,0
30/1/2020,New Deaths,0
31/1/2020,New Cases,0
31/1/2020,Recovered Cases,0
31/1/2020,New Deaths,0
1/2/2020,New Cases,0
1/2/2020,Recovered Cases,0
1/2/2020,New Deaths,0
2/2/2020,New Cases,0
2/2/2020,Recovered Cases,0
2/2/2020,New Deaths,0
3/2/2020,New Cases,0
3/2/2020,Recovered Cases,0
3/2/2020,New Deaths,0
4/2/2020,New Cases,2
4/2/2020,Recovered Cases,0
4/2/2020,New Deaths,0
5/2/2020,New Cases,2
5/2/2020,Recovered Cases,1
5/2/2020,New Deaths,0
6/2/2020,New Cases,2
6/2/2020,Recovered Cases,0
6/2/2020,New Deaths,0
7/2/2020,New Cases,1
7/2/2020,Recovered Cases,0
7/2/2020,New Deaths,0
8/2/2020,New Cases,1
8/2/2020,Recovered Cases,1
8/2/2020,New Deaths,0
9/2/2020,New Cases,1
9/2/2020,Recovered Cases,1
9/2/2020,New Deaths,0
10/2/2020,New Cases,1
10/2/2020,Recovered Cases,0
10/2/2020,New Deaths,0
11/2/2020,New Cases,0
11/2/2020,Recovered Cases,0
11/2/2020,New Deaths,0
12/2/2020,New Cases,0
12/2/2020,Recovered Cases,0
12/2/2020,New Deaths,0
13/2/2020,New Cases,0
13/2/2020,Recovered Cases,0
13/2/2020,New Deaths,0
14/2/2020,New Cases,1
14/2/2020,Recovered Cases,4
14/2/2020,New Deaths,0
15/2/2020,New Cases,3
15/2/2020,Recovered Cases,1
15/2/2020,New Deaths,0
16/2/2020,New Cases,0
16/2/2020,Recovered Cases,0
16/2/2020,New Deaths,0
17/2/2020,New Cases,0
17/2/2020,Recovered Cases,3
17/2/2020,New Deaths,0
18/2/2020,New Cases,0
18/2/2020,Recovered Cases,2
18/2/2020,New Deaths,0
19/2/2020,New Cases,0
19/2/2020,Recovered Cases,4
19/2/2020,New Deaths,0
20/2/2020,New Cases,0
20/2/2020,Recovered Cases,0
20/2/2020,New Deaths,0
21/2/2020,New Cases,0
21/2/2020,Recovered Cases,0
21/2/2020,New Deaths,0
22/2/2020,New Cases,0
22/2/2020,Recovered Cases,1
22/2/2020,New Deaths,0
23/2/2020,New Cases,0
23/2/2020,Recovered Cases,0
23/2/2020,New Deaths,0
24/2/2020,New Cases,0
24/2/2020,Recovered Cases,2
24/2/2020,New Deaths,0
25/2/2020,New Cases,0
25/2/2020,Recovered Cases,0
25/2/2020,New Deaths,0
26/2/2020,New Cases,0
26/2/2020,Recovered Cases,0
26/2/2020,New Deaths,0
27/2/2020,New Cases,1
27/2/2020,Recovered Cases,2
27/2/2020,New Deaths,0
28/2/2020,New Cases,2
28/2/2020,Recovered Cases,0
28/2/2020,New Deaths,0
29/2/2020,New Cases,0
29/2/2020,Recovered Cases,0
29/2/2020,New Deaths,0
1/3/2020,New Cases,4
1/3/2020,Recovered Cases,0
1/3/2020,New Deaths,0
2/3/2020,New Cases,0
2/3/2020,Recovered Cases,0
2/3/2020,New Deaths,0
3/3/2020,New Cases,7
3/3/2020,Recovered Cases,0
3/3/2020,New Deaths,0
4/3/2020,New Cases,14
4/3/2020,Recovered Cases,1
4/3/2020,New Deaths,0
5/3/2020,New Cases,5
5/3/2020,Recovered Cases,0
5/3/2020,New Deaths,0
6/3/2020,New Cases,28
6/3/2020,Recovered Cases,0
6/3/2020,New Deaths,0
7/3/2020,New Cases,10
7/3/2020,Recovered Cases,1
7/3/2020,New Deaths,0
8/3/2020,New Cases,6
8/3/2020,Recovered Cases,1
8/3/2020,New Deaths,0
9/3/2020,New Cases,18
9/3/2020,Recovered Cases,1
9/3/2020,New Deaths,0
10/3/2020,New Cases,12
10/3/2020,Recovered Cases,0
10/3/2020,New Deaths,0
11/3/2020,New Cases,20
11/3/2020,Recovered Cases,1
11/3/2020,New Deaths,0
12/3/2020,New Cases,9
12/3/2020,Recovered Cases,6
12/3/2020,New Deaths,0
13/3/2020,New Cases,39
13/3/2020,Recovered Cases,0
13/3/2020,New Deaths,0
14/3/2020,New Cases,41
14/3/2020,Recovered Cases,4
14/3/2020,New Deaths,0
15/3/2020,New Cases,190
15/3/2020,Recovered Cases,5
15/3/2020,New Deaths,0
16/3/2020,New Cases,125
16/3/2020,Recovered Cases,0
16/3/2020,New Deaths,0
17/3/2020,New Cases,120
17/3/2020,Recovered Cases,7
17/3/2020,New Deaths,2
18/3/2020,New Cases,117
18/3/2020,Recovered Cases,11
18/3/2020,New Deaths,0
19/3/2020,New Cases,110
19/3/2020,Recovered Cases,15
19/3/2020,New Deaths,0
20/3/2020,New Cases,130
20/3/2020,Recovered Cases,12
20/3/2020,New Deaths,1
21/3/2020,New Cases,153
21/3/2020,Recovered Cases,27
21/3/2020,New Deaths,4
22/3/2020,New Cases,123
22/3/2020,Recovered Cases,25
22/3/2020,New Deaths,4
23/3/2020,New Cases,212
23/3/2020,Recovered Cases,20
23/3/2020,New Deaths,5
24/3/2020,New Cases,106
24/3/2020,Recovered Cases,24
24/3/2020,New Deaths,2
25/3/2020,New Cases,172
25/3/2020,Recovered Cases,16
25/3/2020,New Deaths,3
26/3/2020,New Cases,235
26/3/2020,Recovered Cases,16
26/3/2020,New Deaths,5
27/3/2020,New Cases,130
27/3/2020,Recovered Cases,44
27/3/2020,New Deaths,2
28/3/2020,New Cases,159
28/3/2020,Recovered Cases,61
28/3/2020,New Deaths,6
29/3/2020,New Cases,150
29/3/2020,Recovered Cases,68
29/3/2020,New Deaths,5
30/3/2020,New Cases,156
30/3/2020,Recovered Cases,90
30/3/2020,New Deaths,4
31/3/2020,New Cases,140
31/3/2020,Recovered Cases,58
31/3/2020,New Deaths,5
1/4/2020,New Cases,142
1/4/2020,Recovered Cases,108
1/4/2020,New Deaths,2
2/4/2020,New Cases,208
2/4/2020,Recovered Cases,122
2/4/2020,New Deaths,2
3/4/2020,New Cases,217
3/4/2020,Recovered Cases,60
3/4/2020,New Deaths,5
4/4/2020,New Cases,150
4/4/2020,Recovered Cases,88
4/4/2020,New Deaths,3
5/4/2020,New Cases,179
5/4/2020,Recovered Cases,90
5/4/2020,New Deaths,2
6/4/2020,New Cases,131
6/4/2020,Recovered Cases,236
6/4/2020,New Deaths,2
7/4/2020,New Cases,170
7/4/2020,Recovered Cases,80
7/4/2020,New Deaths,1
8/4/2020,New Cases,156
8/4/2020,Recovered Cases,166
8/4/2020,New Deaths,1
9/4/2020,New Cases,109
9/4/2020,Recovered Cases,121
9/4/2020,New Deaths,2
10/4/2020,New Cases,118
10/4/2020,Recovered Cases,222
10/4/2020,New Deaths,3
11/4/2020,New Cases,184
11/4/2020,Recovered Cases,165
11/4/2020,New Deaths,3
12/4/2020,New Cases,153
12/4/2020,Recovered Cases,113
12/4/2020,New Deaths,5
13/4/2020,New Cases,134
13/4/2020,Recovered Cases,168
13/4/2020,New Deaths,1
14/4/2020,New Cases,170
14/4/2020,Recovered Cases,202
14/4/2020,New Deaths,3
15/4/2020,New Cases,85
15/4/2020,Recovered Cases,169
15/4/2020,New Deaths,2
16/4/2020,New Cases,110
16/4/2020,Recovered Cases,119
16/4/2020,New Deaths,2
17/4/2020,New Cases,69
17/4/2020,Recovered Cases,201
17/4/2020,New Deaths,1
18/4/2020,New Cases,54
18/4/2020,Recovered Cases,135
18/4/2020,New Deaths,0
19/4/2020,New Cases,84
19/4/2020,Recovered Cases,95
19/4/2020,New Deaths,1
20/4/2020,New Cases,36
20/4/2020,Recovered Cases,98
20/4/2020,New Deaths,1
21/4/2020,New Cases,57
21/4/2020,Recovered Cases,54
21/4/2020,New Deaths,2
22/4/2020,New Cases,50
22/4/2020,Recovered Cases,103
22/4/2020,New Deaths,2
23/4/2020,New Cases,71
23/4/2020,Recovered Cases,90
23/4/2020,New Deaths,1
24/4/2020,New Cases,88
24/4/2020,Recovered Cases,121
24/4/2020,New Deaths,1
25/4/2020,New Cases,51
25/4/2020,Recovered Cases,99
25/4/2020,New Deaths,2
26/4/2020,New Cases,38
26/4/2020,Recovered Cases,100
26/4/2020,New Deaths,0
27/4/2020,New Cases,40
27/4/2020,Recovered Cases,95
27/4/2020,New Deaths,1
28/4/2020,New Cases,31
28/4/2020,Recovered Cases,75
28/4/2020,New Deaths,1
29/4/2020,New Cases,94
29/4/2020,Recovered Cases,55
29/4/2020,New Deaths,1
30/4/2020,New Cases,57
30/4/2020,Recovered Cases,84
30/4/2020,New Deaths,2
1/5/2020,New Cases,69
1/5/2020,Recovered Cases,39
1/5/2020,New Deaths,0
2/5/2020,New Cases,105
2/5/2020,Recovered Cases,116
2/5/2020,New Deaths,1
3/5/2020,New Cases,122
3/5/2020,Recovered Cases,87
3/5/2020,New Deaths,1
4/5/2020,New Cases,55
4/5/2020,Recovered Cases,71
4/5/2020,New Deaths,0
5/5/2020,New Cases,30
5/5/2020,Recovered Cases,83
5/5/2020,New Deaths,2
6/5/2020,New Cases,45
6/5/2020,Recovered Cases,135
6/5/2020,New Deaths,0
7/5/2020,New Cases,39
7/5/2020,Recovered Cases,74
7/5/2020,New Deaths,1
8/5/2020,New Cases,68
8/5/2020,Recovered Cases,88
8/5/2020,New Deaths,0
9/5/2020,New Cases,54
9/5/2020,Recovered Cases,65
9/5/2020,New Deaths,1
10/5/2020,New Cases,67
10/5/2020,Recovered Cases,96
10/5/2020,New Deaths,1
11/5/2020,New Cases,70
11/5/2020,Recovered Cases,88
11/5/2020,New Deaths,0
12/5/2020,New Cases,16
12/5/2020,Recovered Cases,110
12/5/2020,New Deaths,1
13/5/2020,New Cases,37
13/5/2020,Recovered Cases,58
13/5/2020,New Deaths,2
14/5/2020,New Cases,40
14/5/2020,Recovered Cases,70
14/5/2020,New Deaths,0
15/5/2020,New Cases,36
15/5/2020,Recovered Cases,88
15/5/2020,New Deaths,0
16/5/2020,New Cases,17
16/5/2020,Recovered Cases,73
16/5/2020,New Deaths,0
17/5/2020,New Cases,22
17/5/2020,Recovered Cases,59
17/5/2020,New Deaths,0
18/5/2020,New Cases,47
18/5/2020,Recovered Cases,44
18/5/2020,New Deaths,1
19/5/2020,New Cases,37
19/5/2020,Recovered Cases,31
19/5/2020,New Deaths,0
20/5/2020,New Cases,31
20/5/2020,Recovered Cases,60
20/5/2020,New Deaths,0
21/5/2020,New Cases,50
21/5/2020,Recovered Cases,90
21/5/2020,New Deaths,1
22/5/2020,New Cases,78
22/5/2020,Recovered Cases,63
22/5/2020,New Deaths,0
23/5/2020,New Cases,48
23/5/2020,Recovered Cases,53
23/5/2020,New Deaths,0
24/5/2020,New Cases,60
24/5/2020,Recovered Cases,33
24/5/2020,New Deaths,0
25/5/2020,New Cases,172
25/5/2020,Recovered Cases,34
25/5/2020,New Deaths,0
26/5/2020,New Cases,187
26/5/2020,Recovered Cases,62
26/5/2020,New Deaths,0
27/5/2020,New Cases,15
27/5/2020,Recovered Cases,42
27/5/2020,New Deaths,0
28/5/2020,New Cases,10
28/5/2020,Recovered Cases,86
28/5/2020,New Deaths,0
29/5/2020,New Cases,103
29/5/2020,Recovered Cases,66
29/5/2020,New Deaths,0
30/5/2020,New Cases,30
30/5/2020,Recovered Cases,95
30/5/2020,New Deaths,0
31/5/2020,New Cases,57
31/5/2020,Recovered Cases,23
31/5/2020,New Deaths,0
1/6/2020,New Cases,38
1/6/2020,Recovered Cases,51
1/6/2020,New Deaths,0
2/6/2020,New Cases,20
2/6/2020,Recovered Cases,66
2/6/2020,New Deaths,0
3/6/2020,New Cases,93
3/6/2020,Recovered Cases,61
3/6/2020,New Deaths,0
4/6/2020,New Cases,277
4/6/2020,Recovered Cases,28
4/6/2020,New Deaths,1
5/6/2020,New Cases,19
5/6/2020,Recovered Cases,51
5/6/2020,New Deaths,1
6/6/2020,New Cases,37
6/6/2020,Recovered Cases,25
6/6/2020,New Deaths,0
7/6/2020,New Cases,19
7/6/2020,Recovered Cases,39
7/6/2020,New Deaths,0
8/6/2020,New Cases,7
8/6/2020,Recovered Cases,20
8/6/2020,New Deaths,0
9/6/2020,New Cases,7
9/6/2020,Recovered Cases,281
9/6/2020,New Deaths,0
10/6/2020,New Cases,2
10/6/2020,Recovered Cases,39
10/6/2020,New Deaths,1
11/6/2020,New Cases,31
11/6/2020,Recovered Cases,51
11/6/2020,New Deaths,1
12/6/2020,New Cases,33
12/6/2020,Recovered Cases,103
12/6/2020,New Deaths,2
13/6/2020,New Cases,43
13/6/2020,Recovered Cases,143
13/6/2020,New Deaths,0
14/6/2020,New Cases,8
14/6/2020,Recovered Cases,35
14/6/2020,New Deaths,0
15/6/2020,New Cases,41
15/6/2020,Recovered Cases,54
15/6/2020,New Deaths,0
16/6/2020,New Cases,11
16/6/2020,Recovered Cases,333
16/6/2020,New Deaths,0
17/6/2020,New Cases,10
17/6/2020,Recovered Cases,140
17/6/2020,New Deaths,0
18/6/2020,New Cases,14
18/6/2020,Recovered Cases,127
18/6/2020,New Deaths,0
19/6/2020,New Cases,6
19/6/2020,Recovered Cases,70
19/6/2020,New Deaths,0
20/6/2020,New Cases,21
20/6/2020,Recovered Cases,76
20/6/2020,New Deaths,0
21/6/2020,New Cases,16
21/6/2020,Recovered Cases,10
21/6/2020,New Deaths,0
22/6/2020,New Cases,15
22/6/2020,Recovered Cases,21
22/6/2020,New Deaths,0
23/6/2020,New Cases,3
23/6/2020,Recovered Cases,9
23/6/2020,New Deaths,0
24/6/2020,New Cases,6
24/6/2020,Recovered Cases,45
24/6/2020,New Deaths,0
25/6/2020,New Cases,4
25/6/2020,Recovered Cases,40
25/6/2020,New Deaths,0
26/6/2020,New Cases,6
26/6/2020,Recovered Cases,23
26/6/2020,New Deaths,0
27/6/2020,New Cases,10
27/6/2020,Recovered Cases,14
